activity_id,activity_name,category_id,location_desc,latitude,longitude,duration_min,price_usd,description,genre_relevance (was hip_hop_relevance),coord_status,price_basis
1,Atlantic City Boardwalk Walk,1,"~1400 Boardwalk, Atlantic City, NJ 08401",39.36,-74.425,60,0,Open 24 hrs; free self-guided walk along the full Boardwalk.,Central pedestrian corridor connecting all boardwalk stages; natural flow between sets.,"approx. (midpoint of Boardwalk, not geocoded)","Free - confirmed, acnj.gov"
2,Atlantic City Beach,2,"Along the Boardwalk, Atlantic City, NJ 08401",39.36,-74.423,180,0,"Free public beach, 6am-10pm, lifeguards seasonal (Memorial Day-Labor Day, daytime only).",Primary daytime free-time zone during the 12-4pm Daytime-act slot.,approx. (general beach frontage),"Free - confirmed, acnj.gov"
3,Absecon Lighthouse Tour,4,"Pacific & Rhode Island Ave, Atlantic City, NJ 08401",39.36611,-74.41417,60,8,Tallest lighthouse in NJ; tower climb + keeper's house museum. Summer hours: daily 10am-5pm.,Tallest lighthouse in NJ; scenic checkpoint on a Monopoly-board-themed walking tour.,confirmed (official coords),"$8 confirmed, official site"
4,Steel Pier Amusement Park,1,"1000 Boardwalk, Atlantic City, NJ 08401",39.3575,-74.419,120,20,"Pier entry is FREE; rides are pay-per-ticket (~$2.08/ticket). $20 is an assumed typical per-person ride spend, not a flat admission fee.",Iconic boardwalk backdrop directly adjacent to Boardwalk Main Stage; classic AC photo-op.,confirmed (Wikipedia coords),ASSUMED avg spend - NOT flat admission (see steelpier.com/tickets-rides)
5,Ocean's 18 Mini Golf & Bar,1,"500 Boardwalk, Atlantic City, NJ 08401 (Ocean Casino Resort)",39.3563,-74.4225,60,20,"Walk-ins only, no reservations; 21+ after 9pm Fri/Sat.","Casual daytime activity at Ocean Casino Resort, steps from the HQ2 afterparty venue.",approx. (Ocean Casino Resort footprint),UNVERIFIED - price not published online
6,The Wheel at Steel Pier,1,"1000 Boardwalk, Atlantic City, NJ 08401",39.3575,-74.419,15,12,"227-ft observation wheel, ~10-min ride. Adult $12 / Child $8, cash, tax incl.",Aerial view of the festival grounds at golden hour; VIP photo/reel opportunity.,confirmed (shares Steel Pier coords),"$12 adult confirmed, thewheelatsteelpier.com"
7,The Atlantic City Experience Museum,4,"2301 Boardwalk (inside Jim Whelan Boardwalk Hall), Atlantic City, NJ 08401",39.3545,-74.4377,45,0,"Free, donations accepted. Hours conflict between sources (weekdays vs. Saturdays-only) - verify before publishing.","Local AC pop-culture and history exhibits inside Boardwalk Hall, itself a candidate stage venue.",confirmed (Boardwalk Hall coords),"Free confirmed, donations accepted"
8,Noyes Arts Garage of Stockton University,4,"2200 Fairmount Ave, Atlantic City, NJ 08401 (The Wave)",39.3703,-74.4557,45,0,"Free. Wed-Sat 11am-6pm, Sun 11am-5pm. Houses the African American Heritage Museum of Southern NJ.",Working artist studios/gallery; local visual-art tie-in for festival art installations.,approx. (Tanger/Wave complex),Free - confirmed
9,HQ2 Beachclub,6,"500 Boardwalk, Atlantic City, NJ 08401 (Ocean Casino Resort)",39.3563,-74.4225,180,20,"AC's only beachfront dayclub; door price is doorman's discretion, ~$20 typical. Seasonal/weekend hours, likely 21+ (not confirmed).",Beachfront dayclub with live DJ sets; pairs naturally with Daytime/Mid-tier programming blocks.,approx. (Ocean Casino Resort footprint),"ASSUMED typical door price, doorman's discretion"
10,Ocean Casino Nightclub & Mezzanine,6,"500 Boardwalk, Atlantic City, NJ 08401 (Ocean Casino Resort)",39.3563,-74.4225,180,25,"Indoor, year-round sister venue to HQ2 Beachclub. Fri-Sat nights typically; likely 21+ (not confirmed).",Natural home for the 10pm-2am Afterparty slot.,approx. (Ocean Casino Resort footprint),"ASSUMED typical door price, doorman's discretion"
