sponsor_id,tier_id,sponsor_name,category_type,investment_usd,activation_desc,booth_location,contact_email,contract_status,logo_url
SP01,ST01,American Express,Title,2000000,"Official card partner, exclusive presale ticketing, and Amex Cardmember Lounge.",Boardwalk Main Plaza,partnerships@aexp.com,Confirmed,https://www.americanexpress.com/content/dam/amex/us/logo/amex-logo.svg
SP02,ST01,YouTube,Title,1800000,"Exclusive live-streaming partner, creator hub, and main stage digital broadcast.",Main Stage Media Pavilion,creator-partnerships@youtube.com,Confirmed,https://www.youtube.com/img/desktop/yt_1200.png
SP03,ST01,Coca-Cola,Title,1500000,"Exclusive beverage provider, hydration stations, and Coca-Cola Main Stage naming rights.",Coca-Cola Main Stage,sponsorships@coca-cola.com,Confirmed,https://www.coca-colacompany.com/content/dam/company/us/en/logo/coca-cola-logo.svg
SP04,ST01,Hennessy,Title,1500000,Exclusive VIP nightlife lounge hosting and Hennessy Afterparty venue sponsorship.,Hennessy Afterparty Lounge,events@hennessy.com,Confirmed,https://www.hennessy.com/en-us/images/hennessy-logo.svg
SP05,ST02,Red Bull,Gold,800000,"Red Bull Beach Stage naming rights, extreme sports pop-up, and athlete hospitality.",Red Bull Beach Stage,culture@redbull.com,Confirmed,https://www.redbull.com/logo.svg
SP06,ST02,Jordan Brand / Nike,Gold,750000,"Official footwear & apparel partner, custom sneaker cleaning station, and artist gear.",Boardwalk Fashion Pavilion,events@nike.com,Confirmed,https://www.nike.com/assets/experience/footer/static/logos/nike-logo.svg
SP07,ST02,Cadillac,Gold,750000,Official VIP artist and executive luxury shuttle fleet across Atlantic City resorts.,Casino VIP Arrival Zone,partnerships@cadillac.com,Confirmed,https://www.cadillac.com/content/dam/cadillac/global/master/icons/cadillac-logo.svg
SP08,ST02,Cash App,Gold,700000,"Official cashless wristband integration, instant cashback bars, and ATM financial hubs.",Cashless Central Hub,sponsorships@cash.app,Confirmed,https://cash.app/images/cash-app-logo.svg
SP09,ST02,Spotify,Gold,650000,"Official music streaming partner, artist discovery activation, and live playlist booth.",Spotify Artist House,music-partnerships@spotify.com,Confirmed,https://storage.googleapis.com/pr-newsroom-wp/1/2018/11/Spotify_Logo_RGB_Green.png
SP10,ST03,T-Mobile,Silver,400000,"Official 5G network partner, charging stations, and festival app connectivity hubs.",T-Mobile Connectivity Lounge,events@t-mobile.com,Confirmed,https://www.t-mobile.com/content/dam/t-mobile/en-us/logos/t-mobile-logo.svg
SP11,ST03,Heineken,Silver,350000,"Official beer partner, Boardwalk beer gardens, and eco-friendly recycling activations.",Boardwalk Beer Garden,sponsorships@heineken.com,Confirmed,https://www.heineken.com/logo.svg
SP12,ST03,Samsung,Silver,350000,"Interactive tech photo-booths, Galaxy device testing zone, and LED visual art walls.",Samsung Tech Dome,partnerships@samsung.com,Confirmed,https://images.samsung.com/is/image/samsung/assets/global/about-us/brand/logo/mo/360_197_1.png
SP13,ST03,Delta Air Lines,Silver,300000,"Official airline partner, travel lounge sweepstakes, and VIP airport transfer deals.",Delta VIP Lounge,events@delta.com,Confirmed,https://news.delta.com/sites/default/files/Delta_logo.png
SP14,ST03,Anheuser-Busch,Silver,300000,Co-sponsor of beverage gardens and general admission hydration areas.,General Admission Hydration Zone,partnerships@anheuser-busch.com,Confirmed,https://www.anheuser-busch.com/logo.svg
SP15,ST04,Rhode,Community / Partner,150000,"Beachside skincare, lip treatment bar, and sun protection hydration station.",Rhode Beach Oasis,collaboration@rhodeskin.com,Confirmed,https://www.rhodeskin.com/cdn/shop/files/rhode-logo.svg
